index	family	c	k	pattern	selector	H	exterior	E_columns	C_columns	rows
63	E77	9	1	BO	13308	2,15,16,17,18,19,20,21,22	32	1	8	45
64	E77	9	1	OO	13309	2,15,16,17,18,19,20,21,22	32	1	8	45
65	E77	9	2	BB	13310	2,3,15,16,17,18,19,20,21	32	2	7	45
66	E77	9	2	BO	13311	2,3,15,16,17,18,19,20,21	32	2	7	45
67	E77	9	2	OO	13312	2,3,15,16,17,18,19,20,21	32	2	7	45
68	E77	9	3	BB	13313	2,3,4,15,16,17,18,19,20	32	3	6	45
69	E77	9	3	BO	13314	2,3,4,15,16,17,18,19,20	32	3	6	45
70	E77	9	3	OO	13315	2,3,4,15,16,17,18,19,20	32	3	6	45
71	E77	9	4	BB	13316	2,3,4,5,15,16,17,18,19	32	4	5	45
72	E77	9	4	BO	13317	2,3,4,5,15,16,17,18,19	32	4	5	45
73	E77	9	4	OO	13318	2,3,4,5,15,16,17,18,19	32	4	5	45
74	E77	9	5	BO	13319	2,3,4,5,6,15,16,17,18	32	5	4	45
75	E77	9	5	OO	13320	2,3,4,5,6,15,16,17,18	32	5	4	45
76	E77	9	6	OO	13321	2,3,4,5,6,7,15,16,17	32	6	3	45
77	E77	10	0	BB	13322	15,16,17,18,19,20,21,22,23,24	31	0	10	40
78	E77	10	0	BO	13323	15,16,17,18,19,20,21,22,23,24	31	0	10	40
79	E77	10	1	BB	13324	2,15,16,17,18,19,20,21,22,23	31	1	9	40
80	E77	10	1	BO	13325	2,15,16,17,18,19,20,21,22,23	31	1	9	40
81	E77	10	1	OO	13326	2,15,16,17,18,19,20,21,22,23	31	1	9	40
82	E77	10	2	BB	13327	2,3,15,16,17,18,19,20,21,22	31	2	8	40
83	E77	10	2	BO	13328	2,3,15,16,17,18,19,20,21,22	31	2	8	40
84	E77	10	2	OO	13329	2,3,15,16,17,18,19,20,21,22	31	2	8	40
85	E77	10	3	BB	13330	2,3,4,15,16,17,18,19,20,21	31	3	7	40
86	E77	10	3	BO	13331	2,3,4,15,16,17,18,19,20,21	31	3	7	40
87	E77	10	3	OO	13332	2,3,4,15,16,17,18,19,20,21	31	3	7	40
88	E77	10	4	BB	13333	2,3,4,5,15,16,17,18,19,20	31	4	6	40
89	E77	10	4	BO	13334	2,3,4,5,15,16,17,18,19,20	31	4	6	40
90	E77	10	4	OO	13335	2,3,4,5,15,16,17,18,19,20	31	4	6	40
91	E77	10	5	BO	13336	2,3,4,5,6,15,16,17,18,19	31	5	5	40
92	E77	10	5	OO	13337	2,3,4,5,6,15,16,17,18,19	31	5	5	40
93	E77	10	6	OO	13338	2,3,4,5,6,7,15,16,17,18	31	6	4	40
94	E77	11	0	BB	13339	15,16,17,18,19,20,21,22,23,24,25	30	0	11	33
95	E77	11	0	BO	13340	15,16,17,18,19,20,21,22,23,24,25	30	0	11	33
96	E77	11	1	BB	13341	2,15,16,17,18,19,20,21,22,23,24	30	1	10	33
97	E77	11	1	BO	13342	2,15,16,17,18,19,20,21,22,23,24	30	1	10	33
98	E77	11	1	OO	13343	2,15,16,17,18,19,20,21,22,23,24	30	1	10	33
99	E77	11	2	BB	13344	2,3,15,16,17,18,19,20,21,22,23	30	2	9	33
100	E77	11	2	BO	13345	2,3,15,16,17,18,19,20,21,22,23	30	2	9	33
101	E77	11	2	OO	13346	2,3,15,16,17,18,19,20,21,22,23	30	2	9	33
102	E77	11	3	BB	13347	2,3,4,15,16,17,18,19,20,21,22	30	3	8	33
103	E77	11	3	BO	13348	2,3,4,15,16,17,18,19,20,21,22	30	3	8	33
104	E77	11	3	OO	13349	2,3,4,15,16,17,18,19,20,21,22	30	3	8	33
105	E77	11	4	BB	13350	2,3,4,5,15,16,17,18,19,20,21	30	4	7	33
106	E77	11	4	BO	13351	2,3,4,5,15,16,17,18,19,20,21	30	4	7	33
107	E77	11	4	OO	13352	2,3,4,5,15,16,17,18,19,20,21	30	4	7	33
108	E77	11	5	BO	13353	2,3,4,5,6,15,16,17,18,19,20	30	5	6	33
109	E77	11	5	OO	13354	2,3,4,5,6,15,16,17,18,19,20	30	5	6	33
110	E77	11	6	OO	13355	2,3,4,5,6,7,15,16,17,18,19	30	6	5	33
111	E77	12	0	BB	13356	15,16,17,18,19,20,21,22,23,24,25,26	29	0	12	24
112	E77	12	0	BO	13357	15,16,17,18,19,20,21,22,23,24,25,26	29	0	12	24
113	E77	12	1	BB	13358	2,15,16,17,18,19,20,21,22,23,24,25	29	1	11	24
114	E77	12	1	BO	13359	2,15,16,17,18,19,20,21,22,23,24,25	29	1	11	24
115	E77	12	1	OO	13360	2,15,16,17,18,19,20,21,22,23,24,25	29	1	11	24
116	E77	12	2	BB	13361	2,3,15,16,17,18,19,20,21,22,23,24	29	2	10	24
117	E77	12	2	BO	13362	2,3,15,16,17,18,19,20,21,22,23,24	29	2	10	24
118	E77	12	2	OO	13363	2,3,15,16,17,18,19,20,21,22,23,24	29	2	10	24
119	E77	12	3	BB	13364	2,3,4,15,16,17,18,19,20,21,22,23	29	3	9	24
120	E77	12	3	BO	13365	2,3,4,15,16,17,18,19,20,21,22,23	29	3	9	24
121	E77	12	3	OO	13366	2,3,4,15,16,17,18,19,20,21,22,23	29	3	9	24
122	E77	12	4	BB	13367	2,3,4,5,15,16,17,18,19,20,21,22	29	4	8	24
123	E77	12	4	BO	13368	2,3,4,5,15,16,17,18,19,20,21,22	29	4	8	24
124	E77	12	4	OO	13369	2,3,4,5,15,16,17,18,19,20,21,22	29	4	8	24
125	E77	12	5	BO	13370	2,3,4,5,6,15,16,17,18,19,20,21	29	5	7	24
126	E77	12	5	OO	13371	2,3,4,5,6,15,16,17,18,19,20,21	29	5	7	24
127	E77	12	6	OO	13372	2,3,4,5,6,7,15,16,17,18,19,20	29	6	6	24
128	E77	13	0	BB	13373	15,16,17,18,19,20,21,22,23,24,25,26,27	28	0	13	26
129	E77	13	0	BO	13374	15,16,17,18,19,20,21,22,23,24,25,26,27	28	0	13	26
130	E77	13	1	BB	13375	2,15,16,17,18,19,20,21,22,23,24,25,26	28	1	12	26
131	E77	13	1	BO	13376	2,15,16,17,18,19,20,21,22,23,24,25,26	28	1	12	26
132	E77	13	1	OO	13377	2,15,16,17,18,19,20,21,22,23,24,25,26	28	1	12	26
133	E77	13	2	BB	13378	2,3,15,16,17,18,19,20,21,22,23,24,25	28	2	11	26
134	E77	13	2	BO	13379	2,3,15,16,17,18,19,20,21,22,23,24,25	28	2	11	26
135	E77	13	2	OO	13380	2,3,15,16,17,18,19,20,21,22,23,24,25	28	2	11	26
136	E77	13	3	BB	13381	2,3,4,15,16,17,18,19,20,21,22,23,24	28	3	10	26
137	E77	13	3	BO	13382	2,3,4,15,16,17,18,19,20,21,22,23,24	28	3	10	26
138	E77	13	3	OO	13383	2,3,4,15,16,17,18,19,20,21,22,23,24	28	3	10	26
139	E77	13	4	BB	13384	2,3,4,5,15,16,17,18,19,20,21,22,23	28	4	9	26
140	E77	13	4	BO	13385	2,3,4,5,15,16,17,18,19,20,21,22,23	28	4	9	26
141	E77	13	4	OO	13386	2,3,4,5,15,16,17,18,19,20,21,22,23	28	4	9	26
142	E77	13	5	BO	13387	2,3,4,5,6,15,16,17,18,19,20,21,22	28	5	8	26
143	E77	13	5	OO	13388	2,3,4,5,6,15,16,17,18,19,20,21,22	28	5	8	26
144	E77	13	6	OO	13389	2,3,4,5,6,7,15,16,17,18,19,20,21	28	6	7	26
145	C8	9	0	B	13390	15,16,17,18,19,20,21,22,23	32	0	9	45
146	C8	9	0	O	13391	15,16,17,18,19,20,21,22,23	32	0	9	45
147	C8	9	1	B	13392	2,15,16,17,18,19,20,21,22	32	1	8	45
148	C8	9	1	O	13393	2,15,16,17,18,19,20,21,22	32	1	8	45
149	C8	9	2	B	13394	2,3,15,16,17,18,19,20,21	32	2	7	45
150	C8	9	2	O	13395	2,3,15,16,17,18,19,20,21	32	2	7	45
151	C8	9	3	B	13396	2,3,4,15,16,17,18,19,20	32	3	6	45
152	C8	9	3	O	13397	2,3,4,15,16,17,18,19,20	32	3	6	45
153	C8	9	4	B	13398	2,3,4,5,15,16,17,18,19	32	4	5	45
154	C8	9	4	O	13399	2,3,4,5,15,16,17,18,19	32	4	5	45
155	C8	9	5	B	13400	2,3,4,5,6,15,16,17,18	32	5	4	45
156	C8	9	5	O	13401	2,3,4,5,6,15,16,17,18	32	5	4	45
157	C8	9	6	B	13402	2,3,4,5,6,7,15,16,17	32	6	3	45
158	C8	9	6	O	13403	2,3,4,5,6,7,15,16,17	32	6	3	45
159	C8	10	0	B	13404	15,16,17,18,19,20,21,22,23,24	31	0	10	40
160	C8	10	0	O	13405	15,16,17,18,19,20,21,22,23,24	31	0	10	40
161	C8	10	1	B	13406	2,15,16,17,18,19,20,21,22,23	31	1	9	40
162	C8	10	1	O	13407	2,15,16,17,18,19,20,21,22,23	31	1	9	40
163	C8	10	2	B	13408	2,3,15,16,17,18,19,20,21,22	31	2	8	40
164	C8	10	2	O	13409	2,3,15,16,17,18,19,20,21,22	31	2	8	40
165	C8	10	3	B	13410	2,3,4,15,16,17,18,19,20,21	31	3	7	40
166	C8	10	3	O	13411	2,3,4,15,16,17,18,19,20,21	31	3	7	40
167	C8	10	4	B	13412	2,3,4,5,15,16,17,18,19,20	31	4	6	40
168	C8	10	4	O	13413	2,3,4,5,15,16,17,18,19,20	31	4	6	40
169	C8	10	5	B	13414	2,3,4,5,6,15,16,17,18,19	31	5	5	40
170	C8	10	5	O	13415	2,3,4,5,6,15,16,17,18,19	31	5	5	40
171	C8	10	6	B	13416	2,3,4,5,6,7,15,16,17,18	31	6	4	40
172	C8	10	6	O	13417	2,3,4,5,6,7,15,16,17,18	31	6	4	40
173	C8	11	0	B	13418	15,16,17,18,19,20,21,22,23,24,25	30	0	11	33
174	C8	11	0	O	13419	15,16,17,18,19,20,21,22,23,24,25	30	0	11	33
175	C8	11	1	B	13420	2,15,16,17,18,19,20,21,22,23,24	30	1	10	33
176	C8	11	1	O	13421	2,15,16,17,18,19,20,21,22,23,24	30	1	10	33
177	C8	11	2	B	13422	2,3,15,16,17,18,19,20,21,22,23	30	2	9	33
178	C8	11	2	O	13423	2,3,15,16,17,18,19,20,21,22,23	30	2	9	33
179	C8	11	3	B	13424	2,3,4,15,16,17,18,19,20,21,22	30	3	8	33
180	C8	11	3	O	13425	2,3,4,15,16,17,18,19,20,21,22	30	3	8	33
181	C8	11	4	B	13426	2,3,4,5,15,16,17,18,19,20,21	30	4	7	33
182	C8	11	4	O	13427	2,3,4,5,15,16,17,18,19,20,21	30	4	7	33
183	C8	11	5	B	13428	2,3,4,5,6,15,16,17,18,19,20	30	5	6	33
184	C8	11	5	O	13429	2,3,4,5,6,15,16,17,18,19,20	30	5	6	33
185	C8	11	6	B	13430	2,3,4,5,6,7,15,16,17,18,19	30	6	5	33
186	C8	11	6	O	13431	2,3,4,5,6,7,15,16,17,18,19	30	6	5	33
187	C8	12	0	B	13432	15,16,17,18,19,20,21,22,23,24,25,26	29	0	12	24
188	C8	12	0	O	13433	15,16,17,18,19,20,21,22,23,24,25,26	29	0	12	24
189	C8	12	1	B	13434	2,15,16,17,18,19,20,21,22,23,24,25	29	1	11	24
190	C8	12	1	O	13435	2,15,16,17,18,19,20,21,22,23,24,25	29	1	11	24
191	C8	12	2	B	13436	2,3,15,16,17,18,19,20,21,22,23,24	29	2	10	24
