signature	triples	lower	upper	z
u,h,h|0,1,1	52	0	0	0
u,h,h|1,1,1	26	1	1	1
u,o,ca|0,0,1	1	0	0	0
u,o,cb|0,0,0	1	0	0	0
u,o,co|0,0,8/13	13	0	0	0
u,o,h|0,6/13,1	13	0	0	0
u,p,a|5/6,1,1	5	5/6	5/6	5/6
u,p,b|0,23/36,1	6	0	0	0
u,p,ca|8/15,1,1	1	8/15	8/15	8/15
u,p,cb|0,0,1	1	0	0	0
u,p,co|0,67/195,1	13	0	0	0
u,p,h|6/13,1,1	13	6/13	6/13	6/13
u,p,o|0,0,1	1	0	0	0
u,v,a|0,1,1	5	0	0	0
u,v,b|0,1,1	6	0	0	0
u,v,ca|0,1,1	1	0	0	0
u,v,cb|0,1,1	1	0	0	0
u,v,co|0,0,1	13	0	0	0
u,v,h|1,1,1	13	1	1	1
u,v,o|0,0,1	1	0	0	0
u,v,p|0,1,1	1	0	0	0
v,a,a|0,0,5/6	10	0	0	0
v,a,b|0,17/90,1	30	0	0	0
v,a,ca|0,0,5/6	5	0	0	0
v,a,cb|0,4/25,1	5	0	0	0
v,a,co|0,0,901/1950	65	0	0	0
v,a,h|0,6/13,1	65	0	0	0
v,a,o|0,0,7/10	5	0	0	0
v,b,b|4/5,1,1	15	4/5	4/5	4/5
v,b,ca|0,13/60,1	6	0	0	0
v,b,cb|13/15,1,1	6	13/15	13/15	13/15
v,b,co|0,71/156,1	78	0	0	0
v,b,h|6/13,1,1	78	6/13	6/13	6/13
v,b,o|0,5/12,1	6	0	0	0
v,ca,cb|0,1,1	1	0	0	0
v,ca,co|0,0,2/5	13	0	0	0
v,cb,co|0,2/5,1	13	0	0	0
v,co,co|0,0,8/15	78	0	0	0
v,h,ca|0,3/5,1	13	0	0	0
v,h,cb|3/5,1,1	13	3/5	3/5	3/5
v,h,co|0,3/5,1	169	0	0	0
v,h,h|0,1,1	52	0	0	0
v,h,h|1,1,1	26	1	1	1
v,o,ca|0,0,0	1	0	0	0
v,o,cb|0,0,1	1	0	0	0
v,o,co|0,0,8/13	13	0	0	0
v,o,h|0,6/13,1	13	0	0	0
v,p,a|0,0,5/6	5	0	0	0
v,p,b|0,23/36,1	6	0	0	0
v,p,ca|0,0,8/15	1	0	0	0
v,p,cb|0,0,1	1	0	0	0
v,p,co|0,0,67/195	13	0	0	0
v,p,h|0,6/13,1	13	0	0	0
v,p,o|0,0,0	1	0	0	0
