"c","s","k","p","e_both_red","e_anchor_only","e_partner_only","e_both_blue","c_both_red","c_anchor_only","c_partner_only","c_both_blue","orbit_size","unit_sha256"
"12","0","0","0","0","6","6","1","12","2","2","12","57967","7e868741f61a8bb9aaab03402ec381231d381243bd2e5cb207d36f2bf7eea7e0"
"12","0","1","1","1","5","5","2","11","3","3","11","13912080","d60b9f4a5cae3df050982bd8b514ae588f3cb3f674888b2c4c648a9461efb3f9"
"12","0","2","2","2","4","4","3","10","4","4","10","350700350","e25a8609b7cf5475ccecb5bb2b7360f2d8a9e948e5a514f8f8affe8aa8a6e378"
"12","0","3","3","3","3","3","4","9","5","5","9","1402801400","6267c51d6db874f3daac0693957c99f833f85b5bddd63d1a21d49e7d25159a39"
"12","0","4","4","4","2","2","5","8","6","6","8","946890945","5aad0df1f798c66280e08b9365b598b806ce1469ee8e215eade24e5628bc1b9f"
"12","0","5","5","5","1","1","6","7","7","7","7","82450368","0189192f4dbbf9caa230a969ebf12ca7284aae474f9e2dd3064a1e54c81a6a88"
"12","1","0","1","1","5","5","2","11","3","3","11","2782416","9d40c073652da8a51ad4ceaca2aebf9a2578f82f6011c85c382e7af46e753c0d"
"12","1","1","2","2","4","4","3","10","4","4","10","175350175","72edffd0bfb27e43a64568719550f70784a26d978f596ee9d2a626b093802ea0"
"12","1","2","3","3","3","3","4","9","5","5","9","1402801400","e1ccade07af59a43863a7c42b3ce74ee53e7abd6e2f7392fff5693b05ab1e3bd"
"12","1","3","4","4","2","2","5","8","6","6","8","1893781890","19b3d94ed35997d74f4cad9fecb6fbc046a5c3f359a264d8168a6441e2f3215c"
"12","1","4","5","5","1","1","6","7","7","7","7","412251840","1b2df425eba09a50d639e63f6e42e4321f6f87b3aeb52abd04879a4dfba320f7"
"12","1","5","6","6","0","0","7","6","8","8","6","9018009","15f45107281d0016d58bdd5149635a4b50fe38aa1a217bd273f986f65ada3803"
"13","0","0","0","0","6","6","1","13","1","1","13","1372","bf578b6e79c93c40bfcc5798d1d3c90348b7f06388cae40f249bf1b41eeb99ac"
"13","0","1","1","1","5","5","2","12","2","2","12","869505","60a59c596fc174d0191fa3268b1f2c94cf6d7202692d04cb5c4f58b986970561"
"13","0","2","2","2","4","4","3","11","3","3","11","46373600","ca774ec2e3cee8a0a8e79d2ac67d9c1d73549b1ce09581ff23f87ba51dd5579f"
"13","0","3","3","3","3","3","4","10","4","4","10","350700350","7750ca4f3ad8865602f3b8873daa235d5673e6bb6f289957de83a2d515e5d909"
"13","0","4","4","4","2","2","5","9","5","5","9","420840420","e5a5015fbea66034ce5dfe2e74534541e5b93b52d7a6e78b36a8fc59c1615139"
"13","0","5","5","5","1","1","6","8","6","6","8","63126063","9dd0052549dcdbb36a28e80b6a2ecbee807195bef8627a7b46da689fde917b6c"
"13","1","0","1","1","5","5","2","12","2","2","12","173901","eb706f7ac7bcb0a8ea7d86eb93c2ec9090d1c358b7edc789505362bbfb1d2c52"
"13","1","1","2","2","4","4","3","11","3","3","11","23186800","14eaaee10d05a813d8b6fb219681666444442d604501bc240c2f5660205383f9"
"13","1","2","3","3","3","3","4","10","4","4","10","350700350","0cafc3354031dbe5813b180f46b4bfc76318515c8d615166effde13e4c856c5a"
"13","1","3","4","4","2","2","5","9","5","5","9","841680840","628e942bc7ecb97b6d63301611c6deb799b73e82e6ffa152f055fe7f36d604bc"
"13","1","4","5","5","1","1","6","8","6","6","8","315630315","25560c1c054d4a5b3c7621087fc634315fdee22bc662ece7744d793a5f80e6bc"
"13","1","5","6","6","0","0","7","7","7","7","7","11778624","a5ba2131ab29d8895abe3e56ef9f043084b23e859f55b93d8fe8b341e5976fc6"
