index	family	c	k	pattern	selector	bound	H	exterior_rows
359	C77partition	11	6	HO	13604	3	2,3,4,5,6,7,15,16,17,18,19	30
360	C77partition	11	6	AB	13605	3	2,3,4,5,6,7,15,16,17,18,19	30
361	C77partition	12	0	HO	13606	4	15,16,17,18,19,20,21,22,23,24,25,26	29
362	C77partition	12	0	AB	13607	4	15,16,17,18,19,20,21,22,23,24,25,26	29
363	C77partition	12	1	HO	13608	4	2,15,16,17,18,19,20,21,22,23,24,25	29
364	C77partition	12	1	AB	13609	4	2,15,16,17,18,19,20,21,22,23,24,25	29
365	C77partition	12	2	HO	13610	4	2,3,15,16,17,18,19,20,21,22,23,24	29
366	C77partition	12	2	AB	13611	4	2,3,15,16,17,18,19,20,21,22,23,24	29
367	C77partition	12	3	HO	13612	4	2,3,4,15,16,17,18,19,20,21,22,23	29
368	C77partition	12	3	AB	13613	4	2,3,4,15,16,17,18,19,20,21,22,23	29
369	C77partition	12	4	HO	13614	4	2,3,4,5,15,16,17,18,19,20,21,22	29
370	C77partition	12	4	AB	13615	4	2,3,4,5,15,16,17,18,19,20,21,22	29
371	C77partition	12	5	HO	13616	4	2,3,4,5,6,15,16,17,18,19,20,21	29
372	C77partition	12	5	AB	13617	4	2,3,4,5,6,15,16,17,18,19,20,21	29
373	C77partition	12	6	HO	13618	4	2,3,4,5,6,7,15,16,17,18,19,20	29
374	C77partition	12	6	AB	13619	4	2,3,4,5,6,7,15,16,17,18,19,20	29
375	C77partition	13	0	HO	13620	5	15,16,17,18,19,20,21,22,23,24,25,26,27	28
376	C77partition	13	0	AB	13621	5	15,16,17,18,19,20,21,22,23,24,25,26,27	28
377	C77partition	13	1	HO	13622	5	2,15,16,17,18,19,20,21,22,23,24,25,26	28
378	C77partition	13	1	AB	13623	5	2,15,16,17,18,19,20,21,22,23,24,25,26	28
379	C77partition	13	2	HO	13624	5	2,3,15,16,17,18,19,20,21,22,23,24,25	28
380	C77partition	13	2	AB	13625	5	2,3,15,16,17,18,19,20,21,22,23,24,25	28
381	C77partition	13	3	HO	13626	5	2,3,4,15,16,17,18,19,20,21,22,23,24	28
382	C77partition	13	3	AB	13627	5	2,3,4,15,16,17,18,19,20,21,22,23,24	28
383	C77partition	13	4	HO	13628	5	2,3,4,5,15,16,17,18,19,20,21,22,23	28
384	C77partition	13	4	AB	13629	5	2,3,4,5,15,16,17,18,19,20,21,22,23	28
385	C77partition	13	5	HO	13630	5	2,3,4,5,6,15,16,17,18,19,20,21,22	28
386	C77partition	13	5	AB	13631	5	2,3,4,5,6,15,16,17,18,19,20,21,22	28
387	C77partition	13	6	HO	13632	5	2,3,4,5,6,7,15,16,17,18,19,20,21	28
388	C77partition	13	6	AB	13633	5	2,3,4,5,6,7,15,16,17,18,19,20,21	28
