family	c	k	pattern	third_anchor	pool_size	buckets_after_anchor	ordering_rows	orbit_rows	labeled_rows
C77	9	3	BB	15	6	EHo:3,EAo:3,EBo:3,EOo:4,CHo:5,CAo:8,CBo:6,CBa:2,COo:6	31	20148	24278254840
C77	9	3	BO	15	6	EHo:3,EAo:3,EBo:3,EOo:4,CHo:5,CAo:8,CBo:7,CBa:1,COo:5,COa:1	30	26059	24278254840
C77	9	3	OO	15	6	EHo:3,EAo:3,EBo:3,EOo:4,CHo:5,CAo:8,CBo:8,COo:4,COa:2	31	17697	24278254840
C77	9	4	BB	15	5	EHo:4,EAo:2,EBo:2,EOo:5,CHo:4,CAo:9,CBo:7,CBa:2,COo:5	31	14156	24566267264
C77	9	4	BO	15	5	EHo:4,EAo:2,EBo:2,EOo:5,CHo:4,CAo:9,CBo:8,CBa:1,COo:4,COa:1	30	17307	24566267264
C77	9	4	OO	15	5	EHo:4,EAo:2,EBo:2,EOo:5,CHo:4,CAo:9,CBo:9,COo:3,COa:2	31	11014	24566267264
C77	9	5	BB	15	4	EHo:5,EAo:1,EBo:1,EOo:6,CHo:3,CAo:10,CBo:8,CBa:2,COo:4	31	6110	25003900040
C77	9	5	BO	15	4	EHo:5,EAo:1,EBo:1,EOo:6,CHo:3,CAo:10,CBo:9,CBa:1,COo:3,COa:1	30	7022	25003900040
C77	9	5	OO	15	4	EHo:5,EAo:1,EBo:1,EOo:6,CHo:3,CAo:10,CBo:10,COo:2,COa:2	31	4124	25003900040
C77	9	6	BB	15	3	EHo:6,EOo:7,CHo:2,CAo:11,CBo:9,CBa:2,COo:3	33	1186	25647499220
C77	9	6	BO	15	3	EHo:6,EOo:7,CHo:2,CAo:11,CBo:10,CBa:1,COo:2,COa:1	32	1258	25647499220
C77	9	6	OO	15	3	EHo:6,EOo:7,CHo:2,CAo:11,CBo:11,COo:1,COa:2	33	648	25647499220
C77	10	0	BB	15	10	EAo:6,EBo:6,EOo:1,CHo:9,CAo:4,CBo:2,CBa:2,COo:10	32	2200	19047311712
C77	10	0	BO	15	10	EAo:6,EBo:6,EOo:1,CHo:9,CAo:4,CBo:3,CBa:1,COo:9,COa:1	31	3773	19047311712
C77	10	0	OO	15	10	EAo:6,EBo:6,EOo:1,CHo:9,CAo:4,CBo:4,COo:8,COa:2	32	3301	19047311712
C77	10	1	BB	15	9	EHo:1,EAo:5,EBo:5,EOo:2,CHo:8,CAo:5,CBo:3,CBa:2,COo:9	31	7902	19159947312
C77	10	1	BO	15	9	EHo:1,EAo:5,EBo:5,EOo:2,CHo:8,CAo:5,CBo:4,CBa:1,COo:8,COa:1	30	12372	19159947312
C77	10	1	OO	15	9	EHo:1,EAo:5,EBo:5,EOo:2,CHo:8,CAo:5,CBo:5,COo:7,COa:2	31	10065	19159947312
C77	10	2	BB	15	8	EHo:2,EAo:4,EBo:4,EOo:3,CHo:7,CAo:6,CBo:4,CBa:2,COo:8	31	14612	19298053560
C77	10	2	BO	15	8	EHo:2,EAo:4,EBo:4,EOo:3,CHo:7,CAo:6,CBo:5,CBa:1,COo:7,COa:1	30	21347	19298053560
C77	10	2	OO	15	8	EHo:2,EAo:4,EBo:4,EOo:3,CHo:7,CAo:6,CBo:6,COo:6,COa:2	31	16310	19298053560
C77	10	3	BB	15	7	EHo:3,EAo:3,EBo:3,EOo:4,CHo:6,CAo:7,CBo:5,CBa:2,COo:7	31	17462	19472086060
C77	10	3	BO	15	7	EHo:3,EAo:3,EBo:3,EOo:4,CHo:6,CAo:7,CBo:6,CBa:1,COo:6,COa:1	30	23949	19472086060
C77	10	3	OO	15	7	EHo:3,EAo:3,EBo:3,EOo:4,CHo:6,CAo:7,CBo:7,COo:5,COa:2	31	17253	19472086060
C77	10	4	BB	15	6	EHo:4,EAo:2,EBo:2,EOo:5,CHo:5,CAo:8,CBo:6,CBa:2,COo:6	31	13518	19693467360
C77	10	4	BO	15	6	EHo:4,EAo:2,EBo:2,EOo:5,CHo:5,CAo:8,CBo:7,CBa:1,COo:5,COa:1	30	17528	19693467360
C77	10	4	OO	15	6	EHo:4,EAo:2,EBo:2,EOo:5,CHo:5,CAo:8,CBo:8,COo:4,COa:2	31	11936	19693467360
C77	10	5	BB	15	5	EHo:5,EAo:1,EBo:1,EOo:6,CHo:4,CAo:9,CBo:7,CBa:2,COo:5	31	6626	19976355112
C77	10	5	BO	15	5	EHo:5,EAo:1,EBo:1,EOo:6,CHo:4,CAo:9,CBo:8,CBa:1,COo:4,COa:1	30	8142	19976355112
C77	10	5	OO	15	5	EHo:5,EAo:1,EBo:1,EOo:6,CHo:4,CAo:9,CBo:9,COo:3,COa:2	31	5208	19976355112
C77	10	6	BB	15	4	EHo:6,EOo:7,CHo:3,CAo:10,CBo:8,CBa:2,COo:4	33	1492	20337583952
C77	10	6	BO	15	4	EHo:6,EOo:7,CHo:3,CAo:10,CBo:9,CBa:1,COo:3,COa:1	32	1725	20337583952
C77	10	6	OO	15	4	EHo:6,EOo:7,CHo:3,CAo:10,CBo:10,COo:2,COa:2	33	1018	20337583952
C77	11	0	BB	15	11	EAo:6,EBo:6,EOo:1,CHo:10,CAo:3,CBo:1,CBa:2,COo:11	32	926	13719497220
C77	11	0	BO	15	11	EAo:6,EBo:6,EOo:1,CHo:10,CAo:3,CBo:2,CBa:1,COo:10,COa:1	31	1839	13719497220
C77	11	0	OO	15	11	EAo:6,EBo:6,EOo:1,CHo:10,CAo:3,CBo:3,COo:9,COa:2	32	1783	13719497220
C77	11	1	BB	15	10	EHo:1,EAo:5,EBo:5,EOo:2,CHo:9,CAo:4,CBo:2,CBa:2,COo:10	31	4052	14062235616
C77	11	1	BO	15	10	EHo:1,EAo:5,EBo:5,EOo:2,CHo:9,CAo:4,CBo:3,CBa:1,COo:9,COa:1	30	6981	14062235616
C77	11	1	OO	15	10	EHo:1,EAo:5,EBo:5,EOo:2,CHo:9,CAo:4,CBo:4,COo:8,COa:2	31	6138	14062235616
C77	11	2	BB	15	9	EHo:2,EAo:4,EBo:4,EOo:3,CHo:8,CAo:5,CBo:3,CBa:2,COo:9	31	9036	14297275036
C77	11	2	BO	15	9	EHo:2,EAo:4,EBo:4,EOo:3,CHo:8,CAo:5,CBo:4,CBa:1,COo:8,COa:1	30	14183	14297275036
C77	11	2	OO	15	9	EHo:2,EAo:4,EBo:4,EOo:3,CHo:8,CAo:5,CBo:5,COo:7,COa:2	31	11572	14297275036
C77	11	3	BB	15	8	EHo:3,EAo:3,EBo:3,EOo:4,CHo:7,CAo:6,CBo:4,CBa:2,COo:8	31	12320	14489455444
C77	11	3	BO	15	8	EHo:3,EAo:3,EBo:3,EOo:4,CHo:7,CAo:6,CBo:5,CBa:1,COo:7,COa:1	30	18022	14489455444
C77	11	3	OO	15	8	EHo:3,EAo:3,EBo:3,EOo:4,CHo:7,CAo:6,CBo:6,COo:6,COa:2	31	13796	14489455444
C77	11	4	BB	15	7	EHo:4,EAo:2,EBo:2,EOo:5,CHo:6,CAo:7,CBo:5,CBa:2,COo:7	31	10699	14666660512
