CERTIFICATE stable_transitivity_mu8_v1 n=8 classes=96 target=13/20
# CLASS <source-index> tournament=<mask> dual=<edge-indices> primal=<order-index:num/den,...>
CLASS 1523 tournament=201126823 dual=0,1,2,3,4,6,8,9,10,11,12,13,14,15,16,17,19,20,21,23 primal=723:1/20,3601:4/55,5925:7/220,7112:1/20,9540:7/220,11961:1/20,12600:1/20,12960:1/22,17859:9/220,17956:8/55,18076:1/55,20493:3/110,23112:1/20,23524:1/55,26370:1/20,28141:1/55,29026:1/20,31560:1/20,31599:3/220,34562:1/55,34896:1/220,34906:1/44,35282:7/220,35472:1/110,35626:1/20
CLASS 1525 tournament=199160743 dual=1,2,3,4,8,9,10,11,14,15,16,18,19,20,21,23,24,25,26,27 primal=723:1/20,1872:1/20,3601:1/20,6108:1/20,6633:1/20,9360:1/20,11961:1/20,14701:1/10,17859:1/20,18480:1/20,20644:1/20,23113:1/10,24963:1/20,26370:1/20,31185:1/20,34906:1/20,35626:1/20,38889:1/20
CLASS 1526 tournament=199156711 dual=1,2,3,4,7,8,9,10,11,12,14,15,16,17,18,19,20,21,23,24 primal=4200:3/20,6018:1/20,6108:1/20,6900:1/20,11811:3/20,18480:1/20,19041:1/20,20385:1/20,23113:1/20,23805:1/20,30265:1/20,32156:1/20,38880:1/20,38889:1/20,39064:1/20,39075:1/20
CLASS 1527 tournament=199029735 dual=1,2,3,4,8,9,10,11,14,15,16,18,19,20,21,23,24,25,26,27 primal=96:1/60,3601:1/20,3619:1/60,4480:1/20,4512:1/40,5640:1/30,6018:1/20,6108:1/20,6796:1/40,12960:1/20,17653:1/120,17656:1/20,18078:1/20,19031:1/60,19041:1/20,20493:1/20,20751:1/30,23524:1/8,24963:1/30,25700:1/120,28157:1/120,31593:13/120,37048:1/40,37957:1/60,38880:1/20
CLASS 1533 tournament=268235655 dual=0,1,2,3,4,6,8,9,10,11,12,13,14,15,16,17,19,20,21,23 primal=1:361/2140,720:15/428,2146:13/428,6952:8/535,7112:41/1070,9720:5/214,11847:4/535,11872:41/1070,11944:3/1070,11961:57/2140,13392:1/107,17850:91/2140,17859:1/20,17872:31/1070,18576:1/20,19041:1/20,23112:5/428,23524:1/20,23736:77/2140,26289:21/1070,26370:1/20,28141:49/2140,28810:1/428,29026:1/20,31560:91/2140,31600:29/1070,34890:1/20,34896:9/428
CLASS 1536 tournament=266265479 dual=1,2,3,4,7,8,9,10,11,12,14,15,16,17,18,19,20,21,23,24 primal=1:1/90,1360:1/20,1872:1/20,1960:1/60,5913:19/180,5925:7/180,6108:1/90,6639:1/90,6800:1/20,6900:1/90,11825:1/180,14704:7/180,18480:1/20,23113:1/90,23616:19/180,23656:7/180,23800:1/20,23805:1/20,29424:2/45,29526:7/180,32130:1/20,32313:7/180,35282:7/180,35626:1/20,36370:1/30
CLASS 1539 tournament=251458439 dual=0,1,2,3,4,6,8,9,10,11,12,13,14,15,16,17,19,20,21,23 primal=925:1/40,2146:1/80,5913:11/80,9360:1/20,9720:1/40,9816:3/80,11924:1/80,11992:1/20,12272:1/40,17731:1/20,18576:1/20,19899:1/20,20493:1/40,23524:1/20,24072:1/20,25240:1/20,26289:1/80,28810:1/20,29026:1/40,29520:1/40,29616:3/80,30244:1/20,31600:1/20,38229:1/20
CLASS 1599 tournament=268265415 dual=0,1,2,3,4,5,8,9,10,11,12,13,14,15,16,17,19,20,21,24 primal=1:1/65,154:1/20,2052:1/20,2140:1/52,5925:1/65,7920:1/20,8088:2/65,11821:23/260,12105:1/20,13832:1/20,17779:3/260,17850:3/260,18301:1/20,18576:1/52,18901:1/260,20760:3/260,23145:3/65,23616:21/260,23771:9/260,29850:1/65,31329:1/20,31395:1/20,33936:1/26,34562:2/65,35282:1/26,35353:1/26,36873:1/20
CLASS 1606 tournament=249526215 dual=0,1,2,3,4,5,9,10,11,14,15,16,19,20,21,22,23,24,26,27 primal=97:1/20,172:1/20,720:1/42,822:1/420,1936:1/28,6061:11/420,6881:1/20,7230:1/140,7938:1/60,9792:1/20,14316:3/70,14704:11/84,16140:1/42,18301:1/20,18481:1/84,18916:1/30,20316:1/20,20474:1/70,23524:11/105,27138:1/20,29401:1/420,30330:1/20,31393:1/20,34566:1/42,36300:1/20
CLASS 1618 tournament=268265351 dual=0,1,2,3,4,5,8,9,10,11,12,13,14,15,16,17,19,20,21,24 primal=154:1/20,720:1/20,912:2/235,2052:9/470,5913:107/940,12105:8/235,12816:7/470,13833:1/20,14050:29/940,17850:1/20,18576:1/20,18928:1/470,19365:1/20,20768:3/940,23109:1/20,23145:7/470,23616:17/235,23736:3/188,23771:6/235,25359:3/188,27076:3/94,29850:23/940,31329:1/20,35282:9/188,35352:1/20,36432:3/188,38914:23/940,39816:8/235
CLASS 1625 tournament=249526151 dual=0,1,2,3,4,5,9,10,11,14,15,16,19,20,21,22,23,24,26,27 primal=96:3/40,1632:3/160,5913:7/160,6777:1/20,6881:1/40,8520:1/20,8594:1/32,12041:3/160,12816:1/20,14704:23/160,17850:3/160,18323:3/160,18952:1/32,20406:1/40,20474:1/20,23616:1/80,23768:1/20,25396:1/20,29401:1/20,29408:1/40,29520:1/160,29544:1/40,30330:1/20,31393:1/32,31635:1/32,36432:3/160
CLASS 1627 tournament=199190471 dual=0,2,3,4,7,9,10,11,12,13,15,17,18,19,20,21,24,25,26,27 primal=96:1/20,880:1/20,4352:1/20,5913:1/24,6108:1/20,8072:11/240,11872:1/20,12740:1/60,16140:1/80,17857:1/240,18301:23/240,18480:1/20,20385:1/20,23616:1/240,24456:7/240,27196:1/20,30456:3/80,30840:1/240,30850:7/80,31393:1/20,31434:1/20,34960:1/48,36300:7/240,36432:1/20,38880:1/48
CLASS 2198 tournament=266271119 dual=1,2,3,4,5,6,7,8,9,10,14,15,16,17,18,19,20,21,23,24 primal=1:1/20,978:23/480,1132:1/480,2196:3/80,5913:1/10,6993:1/240,8850:23/480,9241:1/80,11847:13/480,13360:1/120,18432:13/480,18480:1/20,18489:1/480,18492:1/20,21549:1/20,23250:11/240,23251:1/24,23643:11/240,25490:1/480,25633:11/480,29706:1/80,30430:17/480,32256:1/20,32289:1/20,32380:1/80,33844:11/480,35432:11/96,37933:13/480
