CERTIFICATE stable_transitivity_residue_profiles_v1 n=8
# CLASS <source-index> tournament=<mask> dilation=<d> stabilizer=<a> deficit=<delta> candidates=<count> profile=<order-index:multiplicity,...>
CLASS 1504 tournament=251458535 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=892:1,1084:1,6409:1,6771:1,12609:1,17713:1,22696:1,25690:1,31593:1,34681:1,40146:1
CLASS 1504 tournament=251458535 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=600:1,904:1,7272:1,11821:1,18945:1,19741:1,20480:1,23116:1,23118:1,25240:1,25965:1,26559:1,34713:1,39601:1
CLASS 1504 tournament=251458535 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=1957:1,3793:1,5911:1,7149:1,9528:1,12530:1,12608:1,17656:1,18586:1,19744:1,23049:1,28156:1,28896:1,28938:1,30244:1,35401:1,36378:1
CLASS 1506 tournament=201257895 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=147:1,2026:1,5913:1,11818:1,25056:1,25682:1,31917:1,38224:1
CLASS 1506 tournament=201257895 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=1993:1,5040:1,6829:1,7530:1,11820:1,11869:1,22272:1,25680:1,31192:1,34594:1,39379:1
CLASS 1506 tournament=201257895 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=123:1,872:1,3361:1,5984:1,7810:1,11961:1,19890:1,22912:1,24964:1,25518:1,28153:1,31115:1,32386:1,35280:1
CLASS 1506 tournament=201257895 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=4:1,196:1,872:1,3625:1,5924:1,5984:1,12589:1,14912:1,17874:1,18875:1,20480:1,24369:1,28152:1,29010:1,29026:1,29406:1,38889:1
CLASS 1509 tournament=199160807 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=3:1,3721:1,6108:1,18512:1,22033:1,28896:1,37999:1,38541:1
CLASS 1509 tournament=199160807 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=624:1,1921:1,6104:1,11879:1,17652:1,18180:1,20593:1,28156:1,30456:1,34906:1,37201:1
CLASS 1509 tournament=199160807 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=13:1,4650:1,6393:1,7810:1,9512:1,9561:1,16850:1,18480:1,20483:1,23113:1,23805:1,24428:1,25680:1,25722:1
CLASS 1509 tournament=199160807 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=3:1,196:1,872:1,4480:1,6108:1,7276:1,7306:1,14913:1,16850:1,17652:1,17956:1,24426:1,28153:1,28804:1,29077:1,34713:1,38016:1
CLASS 1519 tournament=251458471 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=9:1,5914:1,17872:1,19344:1,23116:1,25705:1,26595:1,37179:1
CLASS 1519 tournament=251458471 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=1086:1,4224:1,7112:1,9322:1,9528:1,11827:1,17850:1,18676:1,20480:1,28801:1,29016:1
CLASS 1519 tournament=251458471 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=226:1,720:1,11824:1,17653:1,18637:1,19321:1,23112:1,25690:1,26520:1,31113:1,31632:1,32206:1,37089:1,37152:1
CLASS 1519 tournament=251458471 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=24:1,872:1,1938:1,3720:1,7112:1,11810:1,11824:1,18229:1,19384:1,23616:1,25245:1,26595:1,29026:1,32195:1,35202:1,35280:1,38256:1
CLASS 1520 tournament=251454439 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=948:1,1621:1,17368:1,23616:1,25245:1,31136:1,34882:1,36152:1
CLASS 1520 tournament=251454439 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=904:1,4326:1,4473:1,7716:1,17717:1,19384:1,20640:1,25690:1,26074:1,29715:1,34713:1
CLASS 1520 tournament=251454439 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=0:1,2073:1,3696:1,6781:1,12093:1,12184:1,13129:1,18585:1,19912:1,20234:1,23130:1,25776:1,25777:1,36370:1
CLASS 1520 tournament=251454439 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=4200:1,4320:1,7149:1,7237:1,10950:1,11989:1,12273:1,12611:1,17656:1,18526:1,19744:1,20676:1,25240:1,25777:1,29424:1,33936:1,36456:1
CLASS 1523 tournament=201126823 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=879:1,6098:1,6829:1,11921:1,20658:1,22912:1,28810:1,38976:1
CLASS 1523 tournament=201126823 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=210:1,3196:1,7800:1,12589:1,12960:1,19877:1,23563:1,24369:1,25200:1,31115:1,39755:1
CLASS 1523 tournament=201126823 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=888:1,3601:1,7118:1,9360:1,12960:1,15570:1,17874:1,17957:1,23049:1,25056:1,31115:1,31416:1,32206:1,37155:1
CLASS 1523 tournament=201126823 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=3607:1,5921:1,5924:1,7776:1,13132:1,17730:1,17859:1,17956:1,20650:1,23049:1,25516:1,25704:1,29016:1,31125:1,35440:1,37089:1,37200:1
CLASS 1525 tournament=199160743 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=888:1,10961:1,23667:1,25512:1,30250:1,31185:1,37996:1,38416:1
CLASS 1525 tournament=199160743 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=3619:1,5921:1,8795:1,12345:1,13480:1,17652:1,17654:1,26379:1,34560:1,35463:1,38889:1
