CERTIFICATE stable_transitivity_m6_v1 n=8 classes=96 orders=20 margin=13
# CLASS <source-index> tournament=<mask> profile=<order-index:multiplicity,...>
CLASS 2221 tournament=251455951 profile=944:1,2092:1,2109:1,5941:1,6039:1,6978:1,10234:1,11824:1,12393:1,18109:1,18682:1,23236:1,23538:2,25240:1,26410:1,32182:1,34560:2,37212:1
CLASS 2226 tournament=199162255 profile=157:1,870:1,1068:1,1693:1,6105:1,9706:1,11872:1,12834:1,14433:1,14714:1,17730:1,18492:1,21203:1,23764:1,24963:1,26496:4,30412:1
CLASS 2227 tournament=199158223 profile=4320:5,8659:1,11855:1,12921:1,18050:1,19030:1,19035:1,21203:1,23233:1,23252:1,24114:1,25490:1,28840:1,28873:1,30515:1,37962:1
CLASS 2228 tournament=199031247 profile=1064:1,1068:1,1731:1,2200:1,2266:1,5912:1,11854:1,12912:1,17493:1,18433:1,21544:1,23548:1,26418:3,30241:1,30258:1,34867:1,37200:1,37771:1
CLASS 2290 tournament=266302863 profile=43:1,170:1,877:1,2191:1,5913:2,9392:1,14709:1,14738:1,18314:1,18492:1,21280:1,23616:2,23992:1,29402:1,29553:2,30412:1,31482:1
CLASS 2295 tournament=251491791 profile=224:1,2194:1,8520:3,11820:3,12098:1,17867:1,18317:1,21240:1,23547:1,28819:1,28906:1,30244:1,30589:1,31276:1,35641:1,37176:1
CLASS 2309 tournament=266298767 profile=1050:1,2212:1,5913:1,14731:1,17730:1,17796:1,17800:1,18315:1,21177:1,23370:1,25107:1,25353:1,27219:1,29527:1,30426:1,31443:1,31482:1,35280:3
CLASS 2312 tournament=251491727 profile=5913:1,8520:3,12561:1,12672:1,12720:1,17800:1,18651:1,19888:1,21184:1,25203:1,26971:1,29418:1,30244:1,30336:1,30589:1,30611:1,35433:1,35648:1
CLASS 2313 tournament=251487695 profile=1032:1,1905:1,2029:1,2160:1,4692:1,5912:2,6946:1,12189:1,13788:1,17800:1,18576:1,23538:2,25545:1,27121:1,30589:1,34440:1,36480:1,37113:1
CLASS 2317 tournament=199193999 profile=3:1,168:1,2212:1,8130:1,12930:1,14292:1,14704:1,14731:1,17806:3,18480:1,21543:1,21552:1,25353:1,25381:1,28837:1,31176:1,34560:1,35312:1
CLASS 2320 tournament=184382927 profile=877:3,4680:1,6916:1,7161:1,18317:1,19890:1,19929:1,21231:1,21272:1,21276:1,24404:1,25203:1,28819:1,29553:1,30282:1,30336:2,38708:1
CLASS 3452 tournament=248442851 profile=4329:1,6213:1,7712:1,14552:2,15120:1,17288:1,17292:1,18673:1,23131:1,24120:1,25276:1,25419:1,25818:1,28162:1,30456:1,32440:1,34713:2,37136:1
CLASS 3641 tournament=265155571 profile=40:1,1021:1,1152:1,3696:1,5904:1,6065:1,7908:1,14000:1,15300:1,18010:1,23137:1,24133:1,28170:1,29032:1,30816:1,31251:1,36272:1,37011:3
CLASS 3666 tournament=267316147 profile=0:1,32:1,2953:1,3602:1,6720:1,7272:1,12304:1,13143:1,14550:1,17893:3,29436:1,29725:1,31984:3,32332:1,36468:1,38883:1
CLASS 3670 tournament=265219059 profile=1027:1,5910:1,6191:1,6720:1,6792:1,7276:1,11769:1,16810:1,18000:1,20602:1,23140:2,24109:1,25276:1,32440:1,34712:2,34930:1,37516:1,38898:1
CLASS 3672 tournament=250543027 profile=312:1,1101:1,3361:2,6081:1,6390:1,6728:1,9272:1,9288:1,12170:2,12688:1,15288:1,17730:1,18229:1,20676:1,29539:1,31620:1,32014:1,38645:1
CLASS 3674 tournament=250412019 profile=1093:1,4200:1,4326:1,5948:1,6078:1,7110:1,7132:1,10944:1,15292:1,17643:1,20634:1,20672:1,23052:1,25312:1,26368:1,26452:1,29178:1,34861:3
CLASS 3813 tournament=250574771 profile=0:1,32:1,36:1,459:1,6884:1,12171:2,13833:1,18675:1,19452:1,20653:1,22326:1,23081:1,28965:2,29148:1,31309:3,35466:1
CLASS 3814 tournament=250570739 profile=373:1,1242:1,3090:1,5905:1,5910:1,7446:1,11616:1,12771:1,18045:1,20610:2,27088:1,28955:1,30313:1,31283:1,32496:1,36300:2,38202:1,38833:1
CLASS 3890 tournament=265680851 profile=754:1,4320:1,6720:1,7266:1,7839:1,8072:1,11835:1,13830:1,15120:1,15300:1,23473:1,23626:1,29824:2,30340:3,31414:1,33721:1,37731:1
CLASS 3918 tournament=265744339 profile=301:1,435:1,754:1,1176:1,4328:1,6065:1,6990:1,8220:2,13261:2,14550:1,17716:1,17769:1,24361:1,29152:1,33234:1,36632:1,37458:1,37656:1
CLASS 3937 tournament=250933203 profile=61:1,493:1,4320:1,6729:1,7621:2,9272:1,11205:1,11770:1,12168:1,18816:1,23476:2,23850:1,27952:1,30450:1,31936:1,35408:1,36201:1,38377:1
CLASS 4085 tournament=265679827 profile=1080:1,1170:1,2976:1,5904:1,5912:1,7839:1,13865:1,15120:1,18892:1,20538:1,20800:1,23473:1,27796:1,29014:1,29028:1,30249:1,30938:1,37027:3
CLASS 4102 tournament=265675731 profile=1155:1,5916:3,6796:1,11769:1,12676:1,13472:1,20832:1,23715:1,23730:1,27796:1,29436:1,30307:1,30816:2,35482:1,36183:1,37440:1,37809:1
CLASS 4110 tournament=184017875 profile=1384:1,1410:1,4806:1,5986:1,6720:1,6793:1,7376:1,12171:1,13475:1,14385:1,14848:1,17782:2,20337:1,26097:1,27858:2,30244:1,30843:1,38173:1
CLASS 4124 tournament=265743315 profile=1026:1,1392:1,4328:1,6069:1,8791:1,12708:1,13112:1,15120:1,15492:1,17730:1,20533:1,23807:1,26220:1,27796:1,29433:1,30816:1,32328:1,33160:1,36306:1,36344:1
CLASS 4141 tournament=265743251 profile=0:1,33:1,2955:1,2956:1,7777:1,8825:1,11851:1,13593:4,17344:1,18720:1,19091:1,19320:1,23590:1,24555:1,24556:1,27810:1,36336:1
CLASS 4181 tournament=265741235 profile=34:1,3360:1,6068:1,6728:1,6810:1,12664:1,13545:1,13608:1,14691:1,15601:1,20680:3,24378:1,27810:1,27873:1,29692:1,34712:1,35280:1,37530:1
CLASS 4419 tournament=267253163 profile=60:1,2168:1,2224:1,5913:1,6273:1,12688:1,13491:1,17466:1,18061:3,21186:1,29889:1,31115:1,31296:1,31593:1,35466:3,37218:1
CLASS 4423 tournament=265156075 profile=1021:1,1036:1,2169:1,4056:1,4206:1,6065:1,6858:1,9572:1,9586:1,11830:1,13976:1,15264:1,15370:1,18061:2,23146:1,23974:1,25776:1,34715:1,37021:1
CLASS 4448 tournament=267316651 profile=5946:1,6480:1,8793:1,14552:1,15120:1,15282:1,17737:1,18064:1,21393:3,25384:1,25713:1,25720:1,32227:1,32856:1,34560:1,35451:1,35656:1,38900:1
CLASS 4452 tournament=265219563 profile=498:1,1027:1,2682:1,3786:1,5928:2,8448:1,8792:1,14646:1,16870:1,17659:2,21334:1,21401:1,25384:1,25725:1,25876:1,34713:1,34921:1,37488:1
CLASS 4721 tournament=251622811 profile=10:1,364:1,872:1,1032:1,5985:1,6390:1,9612:1,11832:1,12393:1,15416:1,19333:2,23193:1,23616:1,27328:1,27340:1,29028:1,31213:1,33013:1,34636:1
CLASS 4724 tournament=249525723 profile=1021:1,1353:1,2596:1,6531:1,6546:1,8145:3,11832:1,12392:1,14292:1,15416:1,18481:1,18770:1,23538:1,30258:1,30916:1,34933:1,37521:1,38315:1
CLASS 4750 tournament=250576283 profile=18:1,864:1,2547:1,5976:1,6885:1,8123:1,9288:1,11824:1,15366:2,23760:1,26153:1,27047:1,29410:1,29843:1,30721:1,33013:3,35452:1
CLASS 4755 tournament=200240603 profile=973:1,1368:1,4320:1,6873:1,12824:1,12884:1,15458:1,17779:1,19500:1,21324:1,23530:1,24493:1,26118:3,29093:1,30244:1,30394:1,33004:1,37524:1
